SchoolID,School,District,DistID
513,Gilham Elementary School,Eugene SD 4J,2082
515,Howard Elementary School,Eugene SD 4J,2082
518,Kelly Middle School,Eugene SD 4J,2082
519,Kennedy Middle School,Eugene SD 4J,2082
520,Madison Middle School,Eugene SD 4J,2082
522,McCornack Elementary School,Eugene SD 4J,2082
524,Monroe Middle School,Eugene SD 4J,2082
525,River Road/El Camino del Rio Elementary School,Eugene SD 4J,2082
526,Roosevelt Middle School,Eugene SD 4J,2082
528,Spencer Butte Middle School,Eugene SD 4J,2082
529,Spring Creek Elementary School,Eugene SD 4J,2082
530,Twin Oaks Elementary School,Eugene SD 4J,2082
534,Willagillespie Elementary School,Eugene SD 4J,2082
