SchoolID,School,District,DistID
4714,Verne A Duncan Elementary School,North Clackamas SD 12,1924
4715,Happy Valley Middle School,North Clackamas SD 12,1924
4719,Gladstone Center for Children and Families,Gladstone SD 115,1931
4720,The Ivy School,Oregon Department of Education,2336
4728,Baker Web Academy,Baker SD 5J,1894
4729,Redmond Proficiency Academy,Redmond SD 2J,1977
4730,Edy Ridge Elementary School,Sherwood SD 88J,2244
4731,Laurel Ridge Middle School,Sherwood SD 88J,2244
4739,Camas Ridge Community Elementary ,Eugene SD 4J,2082
4740,Metro East Web Academy,Gresham-Barlow SD 10J,2183
4743,Innovative Learning Center,Hermiston SD 8,2206
4744,Timber Ridge School,Greater Albany Public SD 8J,2100
4745,Molalla River Academy,Molalla River SD 35,1925
4746,The Community Roots School,Silver Falls SD 4J,2138
4747,Corbett Charter School,Corbett SD 39,2186
4759,Baker Early College,Baker SD 5J,1894
4760,Estacada Early College,Estacada SD 108,1930
4762,Ardenwald Elementary School,North Clackamas SD 12,1924
4763,Happy Valley Elementary School,North Clackamas SD 12,1924
4764,Lewelling Elementary School,North Clackamas SD 12,1924
4765,Linwood Elementary School,North Clackamas SD 12,1924
4766,Oregon Trail Elementary School,North Clackamas SD 12,1924
4767,Rock Creek Middle School,North Clackamas SD 12,1924
4773,Arts and Technology High School,West Linn-Wilsonville SD 3J,1922
4793,Rosland Elementary,Bend-LaPine Administrative SD 1,1976
4802,Clackamas Academy of Industrial Sciences,Oregon City SD 62,1928
4805,Arco Iris Spanish Immersion School,Beaverton SD 48J,2243
4818,Renaissance Public Academy,Molalla River SD 35,1925
4820,Oregon Trail  Academy,Oregon Trail SD 46,1926
4821,Logos Public Charter School,Medford SD 549C,2048
4822,KNOVA Reynolds Public Charter School,Reynolds SD 7,2182
4823,Sunny Wolf Charter School,Three Rivers/Josephine County SD,2055
4833,Sheridan AllPrep Academy,Sheridan SD 48J,2257
4846,Lifeways Inc,InterMountain ESD,2200
4848,Falcon Heights Academy,Klamath County SD,2057
4849,Mosier Middle School,North Wasco County SD 21,4131
4850,Eagle Charter School,Oregon Department of Education,2336
4856,Rivers Edge Academy Charter School,Rogue River SD 35,2044
4857,Winter Lakes School,Coquille SD 8,1964
4858,Kalapuya Elementary School,Salem-Keizer SD 24J,2142
4859,Straub Middle School,Salem-Keizer SD 24J,2142
4867,Hope Chinese Charter School,Beaverton SD 48J,2243
4973,Hillsboro Online Academy,Hillsboro SD 1J,2239
5056,Lowrie Primary School,West Linn-Wilsonville SD 3J,1922
5057,Trillium Creek Primary School,West Linn-Wilsonville SD 3J,1922
5058,Ridgeview High School,Redmond SD 2J,1977
5059,Two Rivers Dos Rios Elementary ,Springfield SD 19,2083
5060,Le Monde French Immersion Public Charter School,Portland SD 1J,2180
5061,Oregon Virtual Education - West,Gaston SD 511J,2245
5062,Oregon Virtual Education - East,Sherman County SD,2195
5063,Woodland Charter School,Three Rivers/Josephine County SD,2055
5064,Cesar E Chavez Elem ,Salem-Keizer SD 24J,2142
5066,Battle Creek Elementary School,Salem-Keizer SD 24J,2142
5150,Insight School of Oregon-Charter Option,Crook County SD,1970
5160,Wake Robin School,Linn Benton Lincoln ESD,2098
5201,Dillard Alternative High School,Winston-Dillard SD 116,2002
5205,Kids Unlimited Academy,Medford SD 549C,2048
5218,Kairos PDX,Portland SD 1J,2180
5250,Wahtonka Community School,North Wasco County SD 21,4131
5251,Crater Lake Charter Academy,Eagle Point SD 9,2043
5252,Mountain View Academy,Lowell SD 71,2092
5253,Corbett Enviro-STEM High School,Corbett SD 39,2186
5270,Providence Pediatric Nursing Facility,Portland SD 1J,2180
5299,Oregon State Hospital - Junction City Campus,Lane ESD,2064
5305,SAGE Youth Residential Program,Portland SD 1J,2180
