Country,best at,year,detail / notes,source,extras,
Finland,Female Doctors,2002,,http://www.nationmaster.com/graph/lab_fem_doc-labor-female-doctors&int=50,,
France,Sugar Beet,2007,production,http://faostat.fao.org/site/339/default.aspx,tourists,http://www.nationmaster.com/graph/eco_tou_arr-economy-tourist-arrivals
Gabon,Manganese,2006,,http://www.oecd.org/dataoecd/34/54/36740186.pdf,,
Gambia,-,-,,,,
Georgia,Library Books,-,,http://www.nationmaster.com/graph/edu_lib_boo_percap-education-library-books-per-capita,,
Germany,solar panels,2007,production,http://www.washingtonpost.com/wp-dyn/content/article/2007/05/04/AR2007050402466.html,,
Ghana,-,-,,,,
Greece,Smoking,2005,cigarette consumption,http://www.nationmaster.com/graph/hea_tob_cig_con-health-tobacco-cigarette-consumption,,
Greenland,land per person,2008,,http://www.nationmaster.com/graph/geo_are_lan_percap-geography-area-land-per-capita,,
Grenada,-,2010,,http://news.bbc.co.uk/1/hi/world/americas/country_profiles/1209605.stm,,
Guatemala,-,-,,,,
Guinea,Rain,2008,,http://www.nationmaster.com/graph/geo_pre-geography-precipitation,bauxite,"http://www.reuters.com/article/idUSL12488505,"
Guinea-Bissau,,-,,,,
Guyana,-,-,,,,
Haiti,-,-,,,,
Honduras,Girls in factories,2003,,http://www.nationmaster.com/graph/lab_chi_emp_in_man_fem_of_fem_eco_act_chi_age_714-active-children-ages-7-14,,
Hong Kong SAR of China,Economic Freedom,2010,,http://en.wikipedia.org/wiki/List_of_countries_by_economic_freedom,,
Hungary,Highest VAT (25%),2002,,http://www.nationmaster.com/graph/tax_val_add_tax_pro_ser-value-added-tax-professional-services,,
Iceland,female Graduates,2000,,http://www.nationmaster.com/graph/edu_sha_of_uni_qua_awa_to_fem-share-university-qualifications-awarded-females,,
India,Cinema Goers,2009,total numbers,http://org-cannes2009.rfi.fr/en/content/20090519-india-cinema-bollywood-cannes-crisis-films-industry,,
Indonesia,Palm oil,2008,production,http://www.chinapost.com.tw/business/asia/indonesia/2008/07/10/164919/Indonesia-worlds.htm,,
Iran (Islamic Republic of),Pistachios,2007,export,http://faostat.fao.org/site/339/default.aspx,,
Iraq,terrorism,2006,,http://www.nationmaster.com/graph/ter_ter_act_196_inc-terrorist-acts-1968-2006-incidences ,legumes, http://faostat.fao.org/site/339/default.aspx
Ireland,Quality of Life,2005,,http://en.wikipedia.org/wiki/Quality-of-life_index,,
Israel,Diamond Polishing,2006,,http://www.mfa.gov.il/MFA/Facts+About+Israel/Economy/ECONOMY-+Sectors+of+the+Economy.htm,,
Italy,Caesarean Sections,2003,,http://www.nationmaster.com/graph/hea_bir_by_cae_sec-health-births-by-caesarean-section,,
Jamaica,-,-,,,,
Japan,Robots,2009,"robot 'density' - no. per 10,000 workers",http://asia.cnet.com/blogs/tokyo-shift/post.htm?id=63008200,,
